Date,Open Price (USD),High Price (USD),Low Price (USD),Close Price (USD),Volume
2023-09-02,1628.67,1644.5,1627.69,1636.89,3243.67572133
2023-09-03,1636.89,1646.97,1625.11,1635.79,4577.3292907
2023-09-04,1635.8,1643.37,1616.21,1629.17,5476.96667281
2023-09-05,1629.17,1646.81,1608.13,1633.46,16519.12438897
2023-09-06,1633.46,1668.43,1609.06,1632.29,18376.35043156
2023-09-07,1632.3,1669.36,1623.02,1647.55,13857.45350771
2023-09-08,1647.56,1656.91,1616.22,1636.2,14380.2892025
2023-09-09,1636.2,1636.95,1629.73,1635.39,2551.94652808
2023-09-10,1635.38,1635.58,1600.66,1616.84,5111.70426314
2023-09-11,1616.58,1618.33,1530.85,1551.51,20764.37144828
2023-09-12,1551.51,1624.44,1549.53,1593.05,14544.45452699
2023-09-13,1593.07,1618.16,1582.0,1608.0,12891.63350115
2023-09-14,1607.97,1644.99,1607.95,1626.49,15371.80172591
2023-09-15,1626.49,1652.6,1612.23,1641.25,12950.73919885
2023-09-16,1641.42,1652.54,1631.92,1635.21,3765.21459319
2023-09-17,1635.22,1635.59,1613.27,1623.2,4029.18553018
2023-09-18,1623.21,1669.01,1605.99,1637.34,10585.472131
2023-09-19,1637.34,1660.36,1627.67,1643.49,9764.34864155
2023-09-20,1643.5,1649.28,1606.1,1622.72,12023.70346104
2023-09-21,1622.72,1625.05,1568.39,1584.25,16209.38049503
2023-09-22,1584.25,1601.89,1577.53,1593.07,7884.62214844
2023-09-23,1593.24,1598.0,1588.21,1593.43,4552.9717239
2023-09-24,1593.43,1600.5,1571.33,1580.91,5516.0887905
2023-09-25,1580.9,1596.17,1563.63,1588.32,12814.47330865
2023-09-26,1588.33,1598.03,1579.8,1593.37,7171.54043917
2023-09-27,1593.55,1633.79,1583.59,1597.61,13267.01152296
2023-09-28,1597.75,1667.5,1597.09,1652.83,20532.75146439
2023-09-29,1652.84,1687.99,1648.73,1667.9,16255.17323432
2023-09-30,1667.9,1693.66,1666.47,1671.01,4534.24505306
2023-10-01,1671.01,1756.0,1668.2,1733.57,17740.99146375
2023-10-02,1733.75,1743.62,1635.99,1663.05,29538.90030126
2023-10-03,1662.71,1670.46,1644.0,1657.0,15135.99809106
2023-10-04,1656.99,1657.57,1585.85,1647.7,14732.79488981
2023-10-05,1646.72,1654.52,1607.4,1611.4,11547.44512166
2023-10-06,1612.41,1664.0,1612.11,1645.85,16363.47537752
2023-10-07,1645.97,1648.45,1631.32,1634.68,3776.80845763
2023-10-08,1634.68,1641.69,1617.88,1633.64,4887.79780404
2023-10-09,1633.53,1635.99,1549.0,1580.09,21387.45383579
2023-10-10,1579.9,1594.16,1550.97,1567.39,14655.88312127
2023-10-11,1567.59,1578.05,1542.25,1566.56,21845.98023727
2023-10-12,1565.93,1567.67,1521.45,1539.37,14457.95627081
2023-10-13,1539.37,1574.01,1537.2,1552.06,14881.13697532
2023-10-14,1552.16,1561.18,1545.61,1555.01,3297.51434464
2023-10-15,1555.07,1566.52,1550.0,1558.04,4217.82251937
2023-10-16,1558.03,1669.98,1555.65,1600.25,29738.75506561
2023-10-17,1600.17,1601.28,1553.25,1565.56,11292.968257
2023-10-18,1565.95,1585.68,1556.19,1563.75,11400.23490379
2023-10-19,1563.75,1573.75,1542.0,1567.64,11996.55303298
2023-10-20,1567.64,1630.49,1562.01,1604.57,36436.67871913
2023-10-21,1604.57,1644.15,1593.32,1629.45,14696.66327094
2023-10-22,1629.45,1668.0,1620.43,1663.25,19583.59542392
2023-10-23,1663.25,1796.18,1658.26,1765.79,40510.97963946
2023-10-24,1766.36,1854.56,1756.16,1784.47,54029.60712696
2023-10-25,1785.01,1817.12,1760.59,1787.71,20127.47035946
2023-10-26,1787.71,1866.0,1762.17,1803.93,28278.05274646
2023-10-27,1803.94,1804.16,1741.68,1780.0,20770.46333536
2023-10-28,1780.01,1801.94,1770.94,1776.7,6057.44808248
2023-10-29,1776.7,1811.13,1763.73,1795.67,9278.19597966
